name,teams,position,start_year,stop_year,total_game,games_started
Ottis Anderson ,STL|2TM|NYG,rb,1979,1992,182,125
Paul Anderson ,RII,,1925,1925,1,0
Preston Anderson ,CLE,,1974,1974,14,0
Ralph Anderson ,CHI|LAC,SE,1958,1960,22,18
Ralph Anderson ,PIT|NWE,FS,1971,1973,34,20
Rashard Anderson ,CAR,LCB,2000,2001,27,9
Ri'Shard Anderson,TEN,,2014,2014,0,0
Richie Anderson ,NYJ|DAL,fb/rb,1993,2004,161,82
Rickey Anderson ,SDG,,1978,1978,16,0
Robby Anderson,NYJ,WR,2016,2018,36,25
Roger Anderson,NYG,LDT,1964,1968,37,24
Ronnie Anderson ,ARI,,1998,1998,4,0
